Year,Month,ENSO_Index
2009,Jan,-0.89
2009,Feb,-0.79
2009,Mar,-0.7
2009,Apr,-0.35
2009,May,0.06
2009,Jun,0.31
2009,Jul,0.48
2009,Aug,0.56
2009,Sep,0.68
2009,Oct,0.89
2009,Nov,1.45
2009,Dec,1.73
2010,Jan,1.51
2010,Feb,1.25
2010,Mar,0.9
2010,Apr,0.38
2010,May,-0.22
2010,Jun,-0.69
2010,Jul,-1.07
2010,Aug,-1.38
2010,Sep,-1.59
2010,Oct,-1.69
2010,Nov,-1.64
2010,Dec,-1.6
2011,Jan,-1.54
2011,Feb,-1.11
2011,Mar,-0.92
2011,Apr,-0.76
2011,May,-0.52
2011,Jun,-0.38
2011,Jul,-0.42
2011,Aug,-0.64
2011,Sep,-0.8
2011,Oct,-1.05
2011,Nov,-1.18
2011,Dec,-1.05
2012,Jan,-0.87
2012,Feb,-0.67
2012,Mar,-0.61
2012,Apr,-0.49
2012,May,-0.32
2012,Jun,0.02
2012,Jul,0.25
2012,Aug,0.47
2012,Sep,0.38
2012,Oct,0.26
2012,Nov,0.15
2012,Dec,-0.25
2013,Jan,-0.53
2013,Feb,-0.51
2013,Mar,-0.25
2013,Apr,-0.25
2013,May,-0.4
2013,Jun,-0.43
2013,Jul,-0.39
2013,Aug,-0.38
2013,Sep,-0.18
2013,Oct,-0.2
2013,Nov,-0.14
2013,Dec,-0.17
2014,Jan,-0.49
2014,Feb,-0.61
2014,Mar,-0.28
2014,Apr,0.09
2014,May,0.32
2014,Jun,0.23
2014,Jul,-0.06
2014,Aug,-0.03
2014,Sep,0.29
2014,Oct,0.44
2014,Nov,0.75
2014,Dec,0.72
2015,Jan,0.51
2015,Feb,0.42
2015,Mar,0.47
2015,Apr,0.7
2015,May,0.92
2015,Jun,1.17
2015,Jul,1.45
2015,Aug,1.93
2015,Sep,2.2
2015,Oct,2.36
2015,Nov,2.71
2015,Dec,2.65
2016,Jan,2.56
2016,Feb,2.24
2016,Mar,1.61
2016,Apr,0.9
2016,May,0.3
2016,Jun,-0.03
2016,Jul,-0.47
2016,Aug,-0.57
2016,Sep,-0.57
2016,Oct,-0.74
2016,Nov,-0.76
2016,Dec,-0.5
2017,Jan,-0.43
2017,Feb,-0.08
2017,Mar,0.03
2017,Apr,0.21
2017,May,0.36
2017,Jun,0.33
2017,Jul,0.25
2017,Aug,-0.16
2017,Sep,-0.43
2017,Oct,-0.56
2017,Nov,-0.96
2017,Dec,-0.99
2018,Jan,-0.98
2018,Feb,-0.78
2018,Mar,-0.8
2018,Apr,-0.51
2018,May,-0.2
2018,Jun,0.05
2018,Jul,0.12
2018,Aug,0.09
2018,Sep,0.47
2018,Oct,0.9
2018,Nov,0.9
2018,Dec,0.89
2019,Jan,0.65
2019,Feb,0.71
2019,Mar,0.8
2019,Apr,0.62
2019,May,0.55
2019,Jun,0.45
2019,Jul,0.35
2019,Aug,0.04
2019,Sep,0.04
2019,Oct,0.48
2019,Nov,0.52
2019,Dec,0.52
2020,Jan,0.6
2020,Feb,0.37
2020,Mar,0.48
2020,Apr,0.36
2020,May,-0.27
2020,Jun,-0.34
2020,Jul,-0.3
2020,Aug,-0.59
2020,Sep,-0.83
2020,Oct,-1.25
2020,Nov,-1.42
2020,Dec,-1.15
2021,Jan,-0.99
2021,Feb,-1.0
2021,Mar,-0.8
2021,Apr,-0.72
2021,May,-0.46
2021,Jun,-0.28
2021,Jul,-0.39
2021,Aug,-0.53
2021,Sep,-0.55
2021,Oct,-0.94
2021,Nov,-0.94
2021,Dec,-1.06
2022,Jan,-0.95
2022,Feb,-0.89
2022,Mar,-0.97
2022,Apr,-1.11
2022,May,-1.11
2022,Jun,-0.75
2022,Jul,-0.7
2022,Aug,-0.97
2022,Sep,-1.07
2022,Oct,-0.99
2022,Nov,-0.9
2022,Dec,-0.86
2023,Jan,-0.72
2023,Feb,-0.46
2023,Mar,-0.11
2023,Apr,0.13
2023,May,0.46
2023,Jun,0.84
2023,Jul,1.02
2023,Aug,1.35
2023,Sep,1.6
2023,Oct,1.72
2023,Nov,2.02
2023,Dec,2.02
2024,Jan,1.81
2024,Feb,1.51
2024,Mar,1.12
2024,Apr,0.77
2024,May,0.23
2024,Jun,0.18
2024,Jul,0.05
2024,Aug,-0.12
2024,Sep,-0.26
2024,Oct,-0.27
2024,Nov,-0.25
2024,Dec,-0.6
2025,Jan,-0.73
2025,Feb,-0.43
2025,Mar,0.01
2025,Apr,-0.14
2025,May,-0.13
2025,Jun,-0.06
