Year,Month,IOD_Index
1956,Apr,-0.3
1956,May,-0.57
1956,Jun,-0.826
1956,Jul,-1.083
1956,Aug,-0.772
1956,Sep,-0.803
1956,Oct,-0.672
1956,Nov,-0.516
1956,Dec,-0.151
1957,Jan,-0.437
1957,Feb,-0.564
1957,Mar,-0.197
1957,Apr,-0.3
1957,May,-0.326
1957,Jun,-0.465
1957,Jul,-0.488
1957,Aug,-0.266
1957,Sep,-0.383
1957,Oct,-0.523
1957,Nov,-0.482
1957,Dec,-0.25
1958,Jan,-0.396
1958,Feb,-0.234
1958,Mar,-0.374
1958,Apr,-0.348
1958,May,-0.496
1958,Jun,-0.854
1958,Jul,-1.063
1958,Aug,-1.26
1958,Sep,-1.303
1958,Oct,-0.966
1958,Nov,-0.674
1958,Dec,-0.639
1959,Jan,-0.027
1959,Feb,-0.531
1959,Mar,-0.524
1959,Apr,-0.357
1959,May,-0.742
1959,Jun,-0.745
1959,Jul,-0.667
1959,Aug,-0.913
1959,Sep,-0.839
1959,Oct,-0.586
1959,Nov,-0.574
1959,Dec,-0.357
1960,Jan,-0.236
1960,Feb,-0.043
1960,Mar,-0.433
1960,Apr,-0.745
1960,May,-0.738
1960,Jun,-0.681
1960,Jul,-0.734
1960,Aug,-0.584
1960,Sep,-0.582
1960,Oct,-0.906
1960,Nov,-0.811
1960,Dec,-0.641
1961,Jan,-0.144
1961,Feb,-0.08
1961,Mar,-0.122
1961,Apr,-0.612
1961,May,-0.438
1961,Jun,-0.006
1961,Jul,0.63
1961,Aug,0.776
1961,Sep,0.554
1961,Oct,0.457
1961,Nov,0.323
1961,Dec,0.311
1962,Jan,0.512
1962,Feb,0.544
1962,Mar,0.356
1962,Apr,-0.019
1962,May,-0.385
1962,Jun,-0.458
1962,Jul,-0.468
1962,Aug,-0.303
1962,Sep,-0.186
1962,Oct,-0.327
1962,Nov,-0.213
1962,Dec,-0.071
1963,Jan,0.329
1963,Feb,0.395
1963,Mar,0.201
1963,Apr,-0.061
1963,May,-0.324
1963,Jun,-0.248
1963,Jul,0.212
1963,Aug,0.473
1963,Sep,0.081
1963,Oct,0.432
1963,Nov,0.319
1963,Dec,-0.059
1964,Jan,-0.461
1964,Feb,-0.692
1964,Mar,-0.312
1964,Apr,-0.224
1964,May,-0.52
1964,Jun,-0.344
1964,Jul,-0.829
1964,Aug,-0.683
1964,Sep,-0.981
1964,Oct,-1.027
1964,Nov,-0.284
1964,Dec,-0.182
1965,Jan,-0.331
1965,Feb,-0.447
1965,Mar,-0.186
1965,Apr,-0.285
1965,May,-0.54
1965,Jun,-0.487
1965,Jul,-0.473
1965,Aug,-0.247
1965,Sep,-0.197
1965,Oct,0.017
1965,Nov,-0.225
1965,Dec,-0.29
1966,Jan,-0.232
1966,Feb,-0.163
1966,Mar,-0.341
1966,Apr,-0.435
1966,May,-0.423
1966,Jun,-0.119
1966,Jul,-0.004
1966,Aug,0.129
1966,Sep,0.102
1966,Oct,-0.304
1966,Nov,-0.361
1966,Dec,-0.236
1967,Jan,-0.236
1967,Feb,-0.073
1967,Mar,0.248
1967,Apr,-0.263
1967,May,-0.165
1967,Jun,0.044
1967,Jul,0.14
1967,Aug,0.13
1967,Sep,0.145
1967,Oct,0.159
1967,Nov,0.023
1967,Dec,0.054
1968,Jan,0.213
1968,Feb,0.334
1968,Mar,0.154
1968,Apr,0.073
1968,May,-0.123
1968,Jun,0.091
1968,Jul,-0.521
1968,Aug,-0.455
1968,Sep,-0.734
1968,Oct,-0.531
1968,Nov,-0.454
1968,Dec,-0.213
1969,Jan,-0.162
