date,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day
2010-12-11 18:30:00,25.835669,86.89273,3.0459864
2010-12-12 18:30:00,25.506502,86.40356,3.363496
2010-12-13 18:30:00,24.923166,88.00889,2.4086947
2010-12-14 18:30:00,24.300247,89.88302,2.005468
2010-12-15 18:30:00,23.723166,89.01169,2.0191424
2010-12-16 18:30:00,24.027334,85.722176,1.9133582
2010-12-17 18:30:00,24.160666,72.28867,3.652691
2010-12-18 18:30:00,23.87108,79.79281,2.186472
2010-12-19 18:30:00,24.589834,83.88772,2.5600863
2010-12-20 18:30:00,24.335665,72.828026,4.1789308
2010-12-21 18:30:00,22.604416,73.42957,3.87249
2010-12-22 18:30:00,22.677332,74.996376,3.4259782
2010-12-23 18:30:00,23.225252,71.48536,3.3409278
2010-12-24 18:30:00,23.639833,75.26293,3.3316891
2010-12-25 18:30:00,23.716913,73.41328,3.9073637
2010-12-26 18:30:00,23.702337,69.76714,3.8492434
2010-12-27 18:30:00,24.483583,70.72992,2.7115533
2010-12-28 18:30:00,24.775248,76.49149,3.1944354
2010-12-29 18:30:00,24.00025,82.12445,2.715383
2010-12-30 18:30:00,24.358583,79.107635,3.2519696
2010-12-31 18:30:00,24.527334,81.80836,3.3150647
2011-01-01 18:30:00,24.806503,85.159546,2.9232824
2011-01-02 18:30:00,25.108583,80.84168,3.4373872
2011-01-03 18:30:00,25.185667,78.1979,2.7183573
2011-01-04 18:30:00,25.069,73.070496,4.119024
2011-01-05 18:30:00,24.966913,70.229836,4.4101896
2011-01-06 18:30:00,24.785666,78.614555,3.2740843
2011-01-07 18:30:00,24.862753,83.602554,3.0709903
2011-01-08 18:30:00,24.941917,83.94387,2.872227
2011-01-09 18:30:00,24.95025,81.73424,3.6576536
2011-01-10 18:30:00,23.866915,75.8996,4.31438
2011-01-11 18:30:00,23.577337,76.98078,3.9369705
2011-01-12 18:30:00,23.358582,76.76025,4.043639
2011-01-13 18:30:00,23.506502,76.36853,4.03252
2011-01-14 18:30:00,24.118998,71.72968,4.066547
2011-01-15 18:30:00,24.110664,78.182945,3.9387176
2011-01-16 18:30:00,23.27733,81.88063,3.969616
2011-01-17 18:30:00,22.869003,80.13981,3.87721
2011-01-18 18:30:00,22.514832,80.77553,3.9507859
2011-01-19 18:30:00,22.596085,82.45349,3.7140892
2011-01-20 18:30:00,23.566916,77.564865,4.1361175
2011-01-21 18:30:00,24.114832,74.95322,3.853542
2011-01-22 18:30:00,24.202332,72.32197,4.2718143
2011-01-23 18:30:00,24.319002,69.90183,4.21816
2011-01-24 18:30:00,24.368998,68.91189,4.1580124
2011-01-25 18:30:00,24.604422,69.91501,4.501184
2011-01-26 18:30:00,24.548162,72.61294,4.5461035
2011-01-27 18:30:00,24.256502,75.60549,4.209434
2011-01-28 18:30:00,24.587751,76.90575,4.2854266
2011-01-29 18:30:00,24.914835,74.99489,4.5450473
2011-01-30 18:30:00,24.854416,72.5398,4.5782523
2011-01-31 18:30:00,24.594,76.06897,4.444792
2011-02-01 18:30:00,24.650251,76.56176,4.51205
2011-02-02 18:30:00,24.896082,67.89305,5.232565
2011-02-03 18:30:00,24.610666,68.21205,4.8520303
2011-02-04 18:30:00,24.035667,73.90125,4.866087
2011-02-05 18:30:00,24.258583,74.630394,4.57992
2011-02-06 18:30:00,24.279419,71.244514,4.6679387
2011-02-07 18:30:00,23.389833,75.112015,4.5533853
2011-02-08 18:30:00,22.981499,75.07048,4.7602596
2011-02-09 18:30:00,22.827333,77.303474,4.7169127
2011-02-10 18:30:00,23.246084,76.187775,4.6330547
2011-02-11 18:30:00,23.289831,72.64124,4.90314
2011-02-12 18:30:00,22.98775,71.808426,4.802613
2011-02-13 18:30:00,22.885666,76.020645,4.5685534
2011-02-14 18:30:00,24.779417,69.99177,4.425884
2011-02-15 18:30:00,25.275251,73.93206,4.8805923
2011-02-16 18:30:00,26.344002,76.372215,4.7083526
2011-02-17 18:30:00,26.225245,79.01277,4.037583
2011-02-18 18:30:00,26.67525,75.989914,4.583054
2011-02-19 18:30:00,26.827332,79.07947,4.238183
2011-02-20 18:30:00,26.785666,82.34709,3.889636
2011-02-21 18:30:00,25.514833,84.95722,3.3991416
2011-02-22 18:30:00,25.110666,85.33721,3.0131412
2011-02-23 18:30:00,25.862747,76.84086,4.4637074
2011-02-24 18:30:00,25.610666,74.60749,4.3087373
2011-02-25 18:30:00,25.30025,73.796745,4.599684
2011-02-26 18:30:00,25.077337,75.700806,4.660705
2011-02-27 18:30:00,25.47317,73.78985,4.919564
2011-02-28 18:30:00,25.979418,71.7241,5.230907
2011-03-01 18:30:00,24.929419,71.533485,5.30245
2011-03-02 18:30:00,24.3565,74.41307,5.117621
2011-03-03 18:30:00,24.358583,75.17099,5.1040535
2011-03-04 18:30:00,23.939833,75.12806,5.123618
2011-03-05 18:30:00,24.498169,74.18032,5.2816963
2011-03-06 18:30:00,25.144003,73.479805,5.315553
2011-03-07 18:30:00,27.108587,64.61891,6.05751
2011-03-08 18:30:00,27.944,66.7251,6.201564
2011-03-09 18:30:00,27.037756,70.40672,5.7654963
2011-03-10 18:30:00,25.852335,74.08178,5.5475774
2011-03-11 18:30:00,26.889833,76.78518,5.13517
2011-03-12 18:30:00,27.435669,76.81597,5.4062066
2011-03-13 18:30:00,26.939837,78.0441,5.3178988
2011-03-14 18:30:00,27.108587,75.84397,5.396174
2011-03-15 18:30:00,26.862753,74.520195,5.5359683
2011-03-16 18:30:00,26.6315,73.368484,5.4582224
2011-03-17 18:30:00,26.285667,72.610115,5.3746347
2011-03-18 18:30:00,26.471085,71.146675,5.4579406
2011-03-19 18:30:00,26.335669,74.17013,5.6199083
2011-03-20 18:30:00,27.714834,76.42658,5.6106453
2011-03-21 18:30:00,28.164835,77.386894,5.7063746
2011-03-22 18:30:00,27.541916,73.96487,5.807738
2011-03-23 18:30:00,27.221083,73.10955,5.7718263
2011-03-24 18:30:00,27.491915,75.55322,5.3255625
2011-03-25 18:30:00,27.941916,75.70697,5.071511
2011-03-26 18:30:00,28.291918,75.79063,5.253248
2011-03-27 18:30:00,28.321085,76.743004,5.3514323
2011-03-28 18:30:00,28.269003,74.28852,5.9512496
2011-03-29 18:30:00,28.291916,74.63209,6.07266
2011-03-30 18:30:00,28.716919,70.06035,6.512765
2011-03-31 18:30:00,28.902334,74.29116,6.3364725
2011-04-01 18:30:00,29.53567,74.88648,6.1576533
2011-04-02 18:30:00,29.63775,73.00176,6.2300606
2011-04-03 18:30:00,29.875252,74.01505,5.978217
2011-04-04 18:30:00,29.48775,74.264046,5.968047
2011-04-05 18:30:00,28.385672,71.01119,5.54768
2011-04-06 18:30:00,27.639833,70.82191,5.684114
2011-04-07 18:30:00,28.246084,71.57553,5.690702
2011-04-08 18:30:00,28.602331,74.16792,5.5360475
2011-04-09 18:30:00,28.80025,73.12824,5.6385465
2011-04-10 18:30:00,28.577332,73.5972,5.3058157
2011-04-11 18:30:00,28.808586,74.69874,5.688149
2011-04-12 18:30:00,29.102333,74.81251,5.529428
2011-04-13 18:30:00,29.069,75.093285,5.2897463
2011-04-14 18:30:00,29.16067,73.86472,5.387619
2011-04-15 18:30:00,29.275253,71.47022,5.9435925
2011-04-16 18:30:00,28.991919,75.41072,4.7652235
2011-04-17 18:30:00,29.76275,73.58163,5.424875
2011-04-18 18:30:00,30.243998,71.078636,6.2644854
2011-04-19 18:30:00,29.902334,73.74377,5.5813513
2011-04-20 18:30:00,28.771082,78.159485,4.399175
2011-04-21 18:30:00,27.4565,82.13173,4.221793
2011-04-22 18:30:00,26.11067,87.65415,1.4544648
2011-04-23 18:30:00,27.504416,79.92584,4.0926137
2011-04-24 18:30:00,27.446081,83.321335,3.942854
2011-04-25 18:30:00,27.702332,82.98507,4.1203876
2011-04-26 18:30:00,28.341917,79.12188,4.9363165
2011-04-27 18:30:00,28.771082,78.38552,5.362316
